,expression,numerical matches,exact matches
0,[x1*(x1**2*exp(x1**2*(x1*cos(x1**2) - cos(x1))*exp(x1**3*exp(x1**2))) + x1) + x1],0,99.0
0,[x1*(x1 + sin(x1*(x1**18 + x1))) + x1],99,99.0
0,[x1**2*(x1**3*(x1**3 - sin(x1))*sin(x1)**2 + x1) + x1**2 + x1],99,99.0
0,[x1**2*(x1**2*(x1**3 - sin(x1))*sin(x1)**2 + x1) + x1**2 + x1],99,99.0
0,[x1*(x1*(x1**3*(x1**3/2 - sin(x1)/2) + x1) + x1) + x1],99,99.0
0,[x1*(x1*(x1**2*(x1**3/2 - sin(x1)/2) + x1) + x1) + x1],99,99.0
0,[x1*(2*x1 + x1/sin(x1**2 + x1))],99,99.0
0,[x1*(x1**2 + x1 + cos(x1**2 - x1))],99,99.0
0,[(x1 + exp(x1**2))*sin(x1)],99,99.0
0,[x1*(x1**2 + x1) + x1],99,99.0
0,[3*x1**2],99,99.0
0,[x1**2 + x1],99,99.0
0,[x1*(x1*(x1**22*exp(2*x1)/((x1 + exp(x1))*(3*x1 + 2/x1)*(2*x1**2 + x1)*(x1*(x1 + cos(exp(x1*(2*x1**2 + 2*x1))/x1)) + x1)) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**21*exp(2*x1)/((x1 + exp(x1))*(3*x1 + 2/x1)*(2*x1**2 + x1)*(x1*(x1 + cos(exp(x1*(2*x1**2 + 2*x1))/x1)) + x1)) + x1) + x1) + x1],0,99.0
0,[x1*(x1 + (x1*(x1**6*log(x1)*sin(exp(x1*(x1*(x1**4 + x1) + x1 + 1))) + x1)*(x1**7*log(x1)*sin(x1*(x1**2*(-x1 + exp(x1*(x1*(x1**4 + x1) + x1 + 1))) + x1)) + x1) + x1)/x1)],0,99.0
0,[x1*(x1 + (x1*(x1**6*log(x1)*sin(exp(x1*(x1*(x1**3*exp(x1) + x1) + x1 + 1))) + x1)*(x1**7*log(x1)*sin(x1*(x1**2*(x1*(x1*(x1**3 + x1) - x1) - 2*x1) + x1)) + x1) + x1)/x1)],0,99.0
0,[x1*(x1 + (x1*(x1**6*log(x1)*sin(exp(x1*(x1*(x1**4 + x1) + x1 + 1))) + x1)*(x1**7*log(x1)*sin(x1*(-2*x1**3 + x1)) + x1) + x1)/x1)],0,99.0
0,[x1*(x1 + (x1**2*(x1**6*log(x1)*sin(exp(x1*(x1*(x1**3*exp(x1) + x1) + x1 + 1))) + x1) + x1)/x1)],0,99.0
0,[x1*(x1 + (x1**2*(x1**6*log(x1)*sin(exp(x1*(x1*(x1**2 + x1) + 2*x1))) + x1) + x1)/x1)],0,99.0
0,[x1*(x1 + (x1**2*(x1**7*log(x1)*sin(exp(x1*(x1*(x1**3 + x1) + x1 + 1))) + x1) + x1)/x1)],0,99.0
0,[x1*(x1*(x1**9*(x1 - cos(x1))*(x1**2 - cos(x1))/(2*x1**2 + x1) + x1) + x1) + x1],99,99.0
0,[x1*(x1*(x1**8*(x1 - cos(x1))**2/(2*x1**2 + x1) + x1) + x1) + x1],99,99.0
0,[x1*(x1*(x1**5*(x1**2 - cos(x1))*exp(-x1)/(2*x1**2 + x1) + x1) + x1) + x1],99,99.0
0,[x1*exp(x1**3/(x1*(x1*(2*x1 + sin(x1)) + 4*x1) + 2*x1) + x1)],99,99.0
0,[x1*(x1**2/cos(x1*(x1*(x1**2 + x1) - x1)/(x1 + 2)) + x1) + x1],99,99.0
0,[x1*(x1 + (x1**2 - x1)*sin(x1) + exp(x1 + cos(1)))*cos(1)],99,99.0
0,[x1*(x1**2*log(x1 + (x1 + sin(x1))/x1) + x1) + x1],99,99.0
0,[x1*(x1 + exp(x1) - log(x1 + 1))],99,99.0
0,[x1**2*(x1 + x1/sin(x1)) + sin(x1)],99,99.0
0,[x1*(x1**2 + x1) + x1],99,99.0
0,[3*x1**2],99,99.0
0,[x1**2 + x1],99,99.0
0,[x1*(x1**2 + x1 + 1)],99,99.0
0,[x1*(2*x1 + sin(1))],99,99.0
0,[x1*(x1 + sin(x1)) + x1],99,99.0
0,[2*x1**2 + x1],99,99.0
0,[x1**2 + x1],99,99.0
